Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
7_2,KO,Itsn1,21.69,21.52,6.665,,,,,,,1.39,,,,
7_2,KO,Itsn1,21.35,,,,,,,,,,,,,
7_6,KO,Itsn1,21.06,20.905,6.995,,,,,,,1.675,,,,
7_6,KO,Itsn1,20.75,,,,,,,,,,,,,
6_4,WT,Itsn1,21.06,20.845,6.595,6.78,,,,,,1.45,1.72375,,,
6_4,WT,Itsn1,20.63,,,,,,,,,,,,,
6_6,WT,Itsn1,21.32,21.105,6.75,,,,,,,1.695,,,,
6_6,WT,Itsn1,20.89,,,,,,,,,,,,,
7_1,WT,Itsn1,21.35,21.255,6.83,,,,,,,1.795,,,,
7_1,WT,Itsn1,21.16,,,,,,,,,,,,,
7_5,WT,Itsn1,21.77,21.755,6.945,,,,,,,1.955,,,,
7_5,WT,Itsn1,21.74,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_1,KO,Lrp3,20.85,20.98,8.615,8.39,0.035,0.976031761,-1.024556823,,,2.62,2.95625,-0.3425,1.267951885,-0.78867346
5_1,KO,Lrp3,21.11,,,,,,,,,,,,,
6_8,KO,Lrp3,22.4,22.27,8.405,,,,,,,3.26,,,,
6_8,KO,Lrp3,22.14,,,,,,,,,,,,,
7_2,KO,Lrp3,22.93,23.07,8.215,,,,,,,2.94,,,,
7_2,KO,Lrp3,23.21,,,,,,,,,,,,,
7_6,KO,Lrp3,22.22,22.235,8.325,,,,,,,3.005,,,,
7_6,KO,Lrp3,22.25,,,,,,,,,,,,,
6_4,WT,Lrp3,22.78,22.67,8.42,8.355,,,,,,3.275,3.29875,,,
6_4,WT,Lrp3,22.56,,,,,,,,,,,,,
6_6,WT,Lrp3,23.04,22.825,8.47,,,,,,,3.415,,,,
6_6,WT,Lrp3,22.61,,,,,,,,,,,,,
7_1,WT,Lrp3,22.82,22.615,8.19,,,,,,,3.155,,,,
7_1,WT,Lrp3,22.41,,,,,,,,,,,,,
