Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
1_13,KO,GAPDH,14.11,14.225,,,,,,,,-4.91,-4.9425,0.19375,0.874330117,-1.143732762
1_13,KO,GAPDH,14.34,,,,,,,,,,,,,
4_1,KO,GAPDH,14.34,14.675,,,,,,,,-4.72,,,,
4_1,KO,GAPDH,15.01,,,,,,,,,,,,,
4_4,KO,GAPDH,14.29,14.195,,,,,,,,-4.885,,,,
4_4,KO,GAPDH,14.1,,,,,,,,,,,,,
9_3,KO,GAPDH,13.57,13.475,,,,,,,,-5.255,,,,
9_3,KO,GAPDH,13.38,,,,,,,,,,,,,
2_1,WT,GAPDH,13.25,13.285,,,,,,,,-5.26,-5.13625,,,
2_1,WT,GAPDH,13.32,,,,,,,,,,,,,
2_3,WT,GAPDH,13.7,13.71,,,,,,,,-5.295,,,,
2_3,WT,GAPDH,13.72,,,,,,,,,,,,,
3_5,WT,GAPDH,15.24,15.215,,,,,,,,-4.79,,,,
3_5,WT,GAPDH,15.19,,,,,,,,,,,,,
9_1,WT,GAPDH,13.94,13.75,,,,,,,,-5.2,,,,
9_1,WT,GAPDH,13.56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Herc3,20.43,20.51,6.285,6.295,0.15,0.901250463,-1.109569472,,,1.375,1.3525,0.34375,0.787990423,-1.269050957
1_13,KO,Herc3,20.59,,,,,,,,,,,,,
4_1,KO,Herc3,21,21.035,6.36,,,,,,,1.64,,,,
4_1,KO,Herc3,21.07,,,,,,,,,,,,,
4_4,KO,Herc3,20.62,20.495,6.3,,,,,,,1.415,,,,
4_4,KO,Herc3,20.37,,,,,,,,,,,,,
9_3,KO,Herc3,19.69,19.71,6.235,,,,,,,0.98,,,,
9_3,KO,Herc3,19.73,,,,,,,,,,,,,
2_1,WT,Herc3,19.68,19.655,6.37,6.145,,,,,,1.11,1.00875,,,
2_1,WT,Herc3,19.63,,,,,,,,,,,,,
2_3,WT,Herc3,20.38,20.435,6.725,,,,,,,1.43,,,,
2_3,WT,Herc3,20.49,,,,,,,,,,,,,
3_5,WT,Herc3,20.68,20.595,5.38,,,,,,,0.59,,,,
3_5,WT,Herc3,20.51,,,,,,,,,,,,,
9_1,WT,Herc3,19.93,19.855,6.105,,,,,,,0.905,,,,
9_1,WT,Herc3,19.78,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Hes6,19.07,19.285,5.06,5.46375,-1.565,2.958775018,-0.337977708,,,0.15,0.52125,-1.37125,2.586946109,-0.386556178
1_13,KO,Hes6,19.5,,,,,,,,,,,,,
4_1,KO,Hes6,19.01,19.29,4.615,,,,,,,-0.105,,,,
4_1,KO,Hes6,19.57,,,,,,,,,,,,,
