gapdh,,,,,,,hprt,,,,,,,geomean
name,foldchange,error,p-value,,,,name,foldchange,error,p-value,,,,name,foldchange,error,p-value
Beta-s,2.10359524794,0.28315095201,1.3128155337e-05,,,,Beta-s,2.15024343418,0.243378317296,2.71035172176e-07,,,,Beta-s,1.83346899289,0.289779730376,0.000595311427916
Cbx7,1.19510953997,0.228813743812,0.31929358235,,,,Cbx7,1.20502451757,0.185806467908,0.206392702121,,,,Cbx7,1.17947902536,0.207032137194,0.32751147562
CTXN1,1.04560696716,0.0983701704109,0.635891930641,,,,CTXN1,1.08781822378,0.0901954306479,0.314415385562,,,,CTXN1,1.03543530484,0.0918014525113,0.697606938166
Ddit4,-1.01865580996,0.209240580396,0.922329548497,,,,Ddit4,-1.04926202701,0.115661786325,0.666643002203,,,,Ddit4,-1.15616175555,0.277386991028,0.498160153685
DMXL1,1.05911345499,0.191231239203,0.73416240543,,,,DMXL1,1.25037953536,0.132011120419,0.0414486638213,,,,DMXL1,1.04778320308,0.162498753459,0.753327996724
FABp7,1.79359870655,0.301549952623,0.00197801297398,,,,FABp7,1.54957759543,0.169601930467,0.00052727236183,,,,FABp7,1.51681863255,0.297062080317,0.0296668259406
Glo1,1.1422853397,0.120264499317,0.211794706098,,,,Glo1,1.14571641831,0.0806542546065,0.0642489997846,,,,Glo1,1.15141834197,0.102254550027,0.122490921389
Gucy2f,-1.38941542784,0.16610281848,0.00945200724776,,,,Gucy2f,-1.40871034568,0.106926460768,9.9179395241e-05,,,,Gucy2f,-1.43474696681,0.134228496508,0.000865994288438
Igf2,1.30112710615,0.29927648222,0.213211358276,,,,Igf2,1.41732741994,0.187037277411,0.0143564088255,,,,Igf2,1.27960651095,0.264478290193,0.208980591881
Klhl33,-4.77688924868,0.516617532012,3.82663459908e-14,,,,Klhl33,-4.51292405313,0.548452896534,3.67225602335e-12,,,,Klhl33,-4.8972413035,0.590741676162,9.46693668375e-13
Ktn1,1.02582576654,0.120629999502,0.823995798893,,,,Ktn1,1.10023560785,0.0779769814914,0.1809354651,,,,Ktn1,-1.00042439409,0.104696855945,0.996727199905
LIM2,-1.1303899254,0.15798483614,0.376429380049,,,,LIM2,1.00131495533,0.122771013309,0.991278333933,,,,LIM2,-1.05947704376,0.128695786391,0.636870826778
NALCN,1.06058675542,0.130553049135,0.628860414834,,,,NALCN,-1.01675789309,0.0632001683822,0.791491627087,,,,NALCN,-1.00588340375,0.0943371662905,0.950537173725
OPN4,-639.922439586,338.361122209,1.5830815523e-08,,,,OPN4,-486.665169335,315.927564434,2.16525229812e-08,,,,OPN4,-533.874536003,412.131688155,1.15215969494e-08
PTPRT,1.05985260132,0.0887368622858,0.499620717198,,,,PTPRT,1.04133733732,0.0921406819307,0.642355989607,,,,PTPRT,1.0104354517,0.101674808238,0.9163490945
RNPS1,1.08614805955,0.0826874599258,0.296486862393,,,,RNPS1,1.03426377085,0.0638974440469,0.590976200334,,,,RNPS1,1.04459486202,0.0946674147079,0.626516172094
Samd7,1.31993513443,0.123755233751,0.0064514422346,,,,Samd7,1.36675059159,0.103080005676,0.000308274421118,,,,Samd7,1.23430367405,0.123312806663,0.0418750194777
Sgcg,-107.588122053,211.476372297,3.21823458498e-06,,,,Sgcg,-175.191438347,114.285042438,3.65376196971e-08,,,,Sgcg,-96.164105783,166.456331579,2.42131723623e-06
Slc25a37,-1.16385930531,0.563558904519,0.663388233176,,,,Slc25a37,1.37022866038,0.37077188846,0.185557136321,,,,Slc25a37,1.02386942891,0.371283434989,0.93488619958
Srebf1,1.13344492079,0.105583625619,0.180981897033,,,,Srebf1,1.34895353888,0.0563682089454,8.04463885015e-07,,,,Srebf1,1.13137589213,0.0898458983868,0.129988283367
