Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
1_13,KO,Itsn1,19.76,19.93,5.705,5.70625,-0.305,1.235418637,-0.809442217,,,0.795,0.76375,-0.11,1.079228237,-0.926588062
1_13,KO,Itsn1,20.1,,,,,,,,,,,,,
4_1,KO,Itsn1,19.67,19.76,5.085,,0.162607108,,,,,0.365,,,,
4_1,KO,Itsn1,19.85,,,,19.52353578,,,,,,,,,
4_4,KO,Itsn1,20,19.995,5.8,,20.17396422,,,,,0.915,,,,
4_4,KO,Itsn1,19.99,,,,,,,,,,,,,
9_3,KO,Itsn1,19.69,19.71,6.235,,,,,,,0.98,,,,
9_3,KO,Itsn1,19.73,,,,,,,,,,,,,
2_1,WT,Itsn1,19.55,19.5,6.215,6.01125,,,,,,0.955,0.87375,,,
2_1,WT,Itsn1,19.45,,,,,,,,,,,,,
2_3,WT,Itsn1,19.77,19.875,6.165,,0.451361037,,,,,0.87,,,,
2_3,WT,Itsn1,19.98,,,,19.09852793,,,,,,,,,
3_5,WT,Itsn1,20.52,20.605,5.39,,20.90397207,,,,,0.595,,,,
3_5,WT,Itsn1,20.69,,,,,,,,,,,,,
9_1,WT,Itsn1,20.27,20.025,6.275,,,,,,,1.075,,,,
9_1,WT,Itsn1,19.78,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Lrp3,21.03,21.1,6.875,6.745,-0.12625,1.091452995,-0.916209864,,,1.965,1.8025,0.06875,0.953463754,-1.048807567
1_13,KO,Lrp3,21.17,,,,,,,,,,,,,
4_1,KO,Lrp3,21.14,21.06,6.385,,0.22333511,,,,,1.665,,,,
4_1,KO,Lrp3,20.98,,,,20.44082978,,,,,,,,,
4_4,KO,Lrp3,20.66,20.75,6.555,,21.33417022,,,,,1.67,,,,
4_4,KO,Lrp3,20.84,,,,,,,,,,,,,
9_3,KO,Lrp3,20.63,20.64,7.165,,,,,,,1.91,,,,
9_3,KO,Lrp3,20.65,,,,,,,,,,,,,
2_1,WT,Lrp3,20.36,20.465,7.18,6.87125,,,,,,1.92,1.73375,,,
2_1,WT,Lrp3,20.57,,,,,,,,,,,,,
2_3,WT,Lrp3,20.71,20.83,7.12,,0.296669007,,,,,1.825,,,,
2_3,WT,Lrp3,20.95,,,,20.26791199,,,,,,,,,
3_5,WT,Lrp3,21.18,21.185,5.97,,21.45458801,,,,,1.175,,,,
3_5,WT,Lrp3,21.19,,,,,,,,,,,,,
9_1,WT,Lrp3,21.06,20.965,7.215,,,,,,,2.015,,,,
9_1,WT,Lrp3,20.87,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_13,KO,Lyst,21,21.12,6.895,6.77875,0.15625,0.897354538,-1.114386743,,,1.985,1.83625,0.35125,0.783904602,-1.275665429
1_13,KO,Lyst,21.24,,,,,,,,,,,,,
4_1,KO,Lyst,21.17,21.155,6.48,,0.343820447,,,,,1.76,,,,
4_1,KO,Lyst,21.14,,,,20.23360911,,,,,,,,,
