Sample,Genotype,Gene,Cq,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
4_1,KO,psd3 (psmd3),19.74,19.91,5.235,,0.302595912,,,,,0.515,,,,
4_1,KO,psd3 (psmd3),20.08,,,,19.08730818,,,,,,,,,
4_4,KO,psd3 (psmd3),19.62,19.6,5.405,,20.29769182,,,,,0.52,,,,
4_4,KO,psd3 (psmd3),19.58,,,,,,,,,,,,,
9_3,KO,psd3 (psmd3),19.24,19.325,5.85,,,,,,,0.595,,,,
9_3,KO,psd3 (psmd3),19.41,,,,,,,,,,,,,
2_1,WT,psd3 (psmd3),18.83,18.925,5.64,5.5225,,,,,,0.38,0.385,,,
2_1,WT,psd3 (psmd3),19.02,,,,,,,,,,,,,
2_3,WT,psd3 (psmd3),19.3,19.44,5.73,,0.564592141,,,,,0.435,,,,
2_3,WT,psd3 (psmd3),19.58,,,,18.38331572,,,,,,,,,
3_5,WT,psd3 (psmd3),20.3,20.35,5.135,,20.64168428,,,,,0.34,,,,
3_5,WT,psd3 (psmd3),20.4,,,,,,,,,,,,,
9_1,WT,psd3 (psmd3),19.37,19.335,5.585,,,,,,,0.385,,,,
9_1,WT,psd3 (psmd3),19.3,,,,,,,,,,,,,
