Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
1_3,KO,Atp2b2,19.29,19.135,8.49,9.37625,1.19625,0.436408165,-2.291432837,,,1.985,1.6975,0.15375,0.898910883,-1.11245733
1_3,KO,Atp2b2,18.98,,,,,,,,,,,,,
2_2,KO,Atp2b2,19.23,19.24,12.985,,,,,,,1.575,,,,
2_2,KO,Atp2b2,19.25,,,,,,,,,,,,,
3_4,KO,Atp2b2,19.64,19.72,6.455,,,,,,,1.745,,,,
3_4,KO,Atp2b2,19.8,,,,,,,,,,,,,
3_5,KO,Atp2b2,19.08,19.185,9.575,,,,,,,1.485,,,,
3_5,KO,Atp2b2,19.29,,,,,,,,,,,,,
2_4,WT,Atp2b2,20.06,20.455,6.675,8.18,,,,,,1.7,1.54375,,,
2_4,WT,Atp2b2,20.85,,,,,,,,,,,,,
2_5,WT,Atp2b2,20.03,20.03,6.455,,,,,,,1.655,,,,
2_5,WT,Atp2b2,20.03,,,,,,,,,,,,,
3_6,WT,Atp2b2,20.14,20.17,10.705,,,,,,,1.47,,,,
3_6,WT,Atp2b2,20.2,,,,,,,,,,,,,
3_7,WT,Atp2b2,19.97,20.055,8.885,,,,,,,1.35,,,,
3_7,WT,Atp2b2,20.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Bsn,18.95,19.035,8.39,9.6625,1.225,0.427797513,-2.337554497,,,1.885,1.98375,0.1825,0.881174713,-1.134848725
1_3,KO,Bsn,19.12,,,,,,,,,,,,,
2_2,KO,Bsn,19.38,19.49,13.235,,,,,,,1.825,,,,
2_2,KO,Bsn,19.6,,,,,,,,,,,,,
3_4,KO,Bsn,20.06,20.08,6.815,,,,,,,2.105,,,,
3_4,KO,Bsn,20.1,,,,,,,,,,,,,
3_5,KO,Bsn,19.64,19.82,10.21,,,,,,,2.12,,,,
3_5,KO,Bsn,20,,,,,,,,,,,,,
2_4,WT,Bsn,20.42,20.49,6.71,8.4375,,,,,,1.735,1.80125,,,
2_4,WT,Bsn,20.56,,,,,,,,,,,,,
2_5,WT,Bsn,20.16,20.28,6.705,,,,,,,1.905,,,,
2_5,WT,Bsn,20.4,,,,,,,,,,,,,
3_6,WT,Bsn,20.54,20.54,11.075,,,,,,,1.84,,,,
3_6,WT,Bsn,20.54,,,,,,,,,,,,,
3_7,WT,Bsn,20.24,20.43,9.26,,,,,,,1.725,,,,
3_7,WT,Bsn,20.62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Chordc1,18.5,18.455,7.81,9.19625,1.21875,0.429654825,-2.327449718,,,1.305,1.5175,0.17625,0.885000392,-1.129943002
1_3,KO,Chordc1,18.41,,,,,,,,,,,,,
2_2,KO,Chordc1,19.16,19.165,12.91,,,,,,,1.5,,,,
2_2,KO,Chordc1,19.17,,,,,,,,,,,,,
3_4,KO,Chordc1,19.67,19.78,6.515,,,,,,,1.805,,,,
3_4,KO,Chordc1,19.89,,,,,,,,,,,,,
3_5,KO,Chordc1,19.13,19.16,9.55,,,,,,,1.46,,,,
3_5,KO,Chordc1,19.19,,,,,,,,,,,,,
2_4,WT,Chordc1,19.72,19.905,6.125,7.9775,,,,,,1.15,1.34125,,,
2_4,WT,Chordc1,20.09,,,,,,,,,,,,,
2_5,WT,Chordc1,19.65,19.73,6.155,,,,,,,1.355,,,,
2_5,WT,Chordc1,19.81,,,,,,,,,,,,,
3_6,WT,Chordc1,19.97,20.065,10.6,,,,,,,1.365,,,,
3_6,WT,Chordc1,20.16,,,,,,,,,,,,,
3_7,WT,Chordc1,20.07,20.2,9.03,,,,,,,1.495,,,,
3_7,WT,Chordc1,20.33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Colec12,24.2,24.15,13.505,14.85375,1.43375,0.370167464,-2.701479998,,,7,7.175,0.39125,0.762468689,-1.311529265
1_3,KO,Colec12,24.1,,,,,,,,,,,,,
2_2,KO,Colec12,25.13,25.035,18.78,,,,,,,7.37,,,,
2_2,KO,Colec12,24.94,,,,,,,,,,,,,
3_4,KO,Colec12,25.3,25.29,12.025,,,,,,,7.315,,,,
3_4,KO,Colec12,25.28,,,,,,,,,,,,,
3_5,KO,Colec12,24.72,24.715,15.105,,,,,,,7.015,,,,
3_5,KO,Colec12,24.71,,,,,,,,,,,,,
2_4,WT,Colec12,25.51,25.47,11.69,13.42,,,,,,6.715,6.78375,,,
