Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
2_4,WT,Colec12,25.43,,,,,,,,,,,,,
2_5,WT,Colec12,25.18,25.285,11.71,,,,,,,6.91,,,,
2_5,WT,Colec12,25.39,,,,,,,,,,,,,
3_6,WT,Colec12,25.72,25.685,16.22,,,,,,,6.985,,,,
3_6,WT,Colec12,25.65,,,,,,,,,,,,,
3_7,WT,Colec12,25.04,25.23,14.06,,,,,,,6.525,,,,
3_7,WT,Colec12,25.42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Crym,17.93,17.89,7.245,8.52125,1.32125,0.400188052,-2.498825227,,,0.74,0.8425,0.27875,0.824304914,-1.21314332
1_3,KO,Crym,17.85,,,,,,,,,,,,,
2_2,KO,Crym,19.23,18.715,12.46,,,,,,,1.05,,,,
2_2,KO,Crym,18.2,,,,,,,,,,,,,
3_4,KO,Crym,18.61,18.85,5.585,,,,,,,0.875,,,,
3_4,KO,Crym,19.09,,,,,,,,,,,,,
3_5,KO,Crym,18.36,18.405,8.795,,,,,,,0.705,,,,
3_5,KO,Crym,18.45,,,,,,,,,,,,,
2_4,WT,Crym,18.93,18.965,5.185,7.2,,,,,,0.21,0.56375,,,
2_4,WT,Crym,19,,,,,,,,,,,,,
2_5,WT,Crym,19.34,19.75,6.175,,,,,,,1.375,,,,
2_5,WT,Crym,20.16,,,,,,,,,,,,,
3_6,WT,Crym,18.92,18.885,9.42,,,,,,,0.185,,,,
3_6,WT,Crym,18.85,,,,,,,,,,,,,
3_7,WT,Crym,19.06,19.19,8.02,,,,,,,0.485,,,,
3_7,WT,Crym,19.32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Fam107a,27.32,27.735,17.09,18.04375,1.55125,0.341214296,-2.930709558,,,10.585,10.365,0.50875,0.702831131,-1.422816884
1_3,KO,Fam107a,28.15,,,,,,,,,,,,,
2_2,KO,Fam107a,27.31,27.455,21.2,,,,,,,9.79,,,,
2_2,KO,Fam107a,27.6,,,,,,,,,,,,,
3_4,KO,Fam107a,28.29,28.46,15.195,,,,,,,10.485,,,,
3_4,KO,Fam107a,28.63,,,,,,,,,,,,,
3_5,KO,Fam107a,28.15,28.3,18.69,,,,,,,10.6,,,,
3_5,KO,Fam107a,28.45,,,,,,,,,,,,,
2_4,WT,Fam107a,28.64,28.425,14.645,16.4925,,,,,,9.67,9.85625,,,
2_4,WT,Fam107a,28.21,,,,,,,,,,,,,
2_5,WT,Fam107a,28.32,28.64,15.065,,,,,,,10.265,,,,
2_5,WT,Fam107a,28.96,,,,,,,,,,,,,
3_6,WT,Fam107a,28.83,28.755,19.29,,,,,,,10.055,,,,
3_6,WT,Fam107a,28.68,,,,,,,,,,,,,
3_7,WT,Fam107a,27.73,28.14,16.97,,,,,,,9.435,,,,
3_7,WT,Fam107a,28.55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Gapdh,12.41,10.645,0,0,0,1,-1,,,-6.505,-7.67875,-1.0425,2.059793913,-0.485485462
1_3,KO,Gapdh,8.88,,,,,,,,,,,,,
2_2,KO,Gapdh,5.94,6.255,0,,,,,,,-11.41,,,,
2_2,KO,Gapdh,6.57,,,,,,,,,,,,,
3_4,KO,Gapdh,13.24,13.265,0,,,,,,,-4.71,,,,
3_4,KO,Gapdh,13.29,,,,,,,,,,,,,
3_5,KO,Gapdh,12.95,9.61,0,,,,,,,-8.09,,,,
3_5,KO,Gapdh,6.27,,,,,,,,,,,,,
2_4,WT,Gapdh,13.92,13.78,0,0,,,,,,-4.975,-6.63625,,,
2_4,WT,Gapdh,13.64,,,,,,,,,,,,,
2_5,WT,Gapdh,13.61,13.575,0,,,,,,,-4.8,,,,
2_5,WT,Gapdh,13.54,,,,,,,,,,,,,
3_6,WT,Gapdh,13.76,9.465,0,,,,,,,-9.235,,,,
3_6,WT,Gapdh,5.17,,,,,,,,,,,,,
3_7,WT,Gapdh,8.33,11.17,0,,,,,,,-7.535,,,,
3_7,WT,Gapdh,14.01,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Gpsm2,22.49,22.49,11.845,13.1725,1.17375,0.443267655,-2.255973311,,,5.34,5.49375,0.13125,0.913040019,-1.095242245
1_3,KO,Gpsm2,22.49,,,,,,,,,,,,,
2_2,KO,Gpsm2,23.14,23.1,16.845,,,,,,,5.435,,,,
2_2,KO,Gpsm2,23.06,,,,,,,,,,,,,
3_4,KO,Gpsm2,23.49,23.69,10.425,,,,,,,5.715,,,,
3_4,KO,Gpsm2,23.89,,,,,,,,,,,,,
3_5,KO,Gpsm2,22.94,23.185,13.575,,,,,,,5.485,,,,
3_5,KO,Gpsm2,23.43,,,,,,,,,,,,,
2_4,WT,Gpsm2,23.85,24.065,10.285,11.99875,,,,,,5.31,5.3625,,,
2_4,WT,Gpsm2,24.28,,,,,,,,,,,,,
2_5,WT,Gpsm2,23.64,23.635,10.06,,,,,,,5.26,,,,
2_5,WT,Gpsm2,23.63,,,,,,,,,,,,,
3_6,WT,Gpsm2,24.02,24.075,14.61,,,,,,,5.375,,,,
3_6,WT,Gpsm2,24.13,,,,,,,,,,,,,
3_7,WT,Gpsm2,24.11,24.21,13.04,,,,,,,5.505,,,,
3_7,WT,Gpsm2,24.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Hprt,17.19,17.15,6.505,7.67875,1.0425,0.485485462,-2.059793913,,,0,0,0,1,-1
1_3,KO,Hprt,17.11,,,,,,,,,,,,,
2_2,KO,Hprt,17.59,17.665,11.41,,,,,,,0,,,,
2_2,KO,Hprt,17.74,,,,,,,,,,,,,
3_4,KO,Hprt,17.92,17.975,4.71,,,,,,,0,,,,
3_4,KO,Hprt,18.03,,,,,,,,,,,,,
3_5,KO,Hprt,17.68,17.7,8.09,,,,,,,0,,,,
3_5,KO,Hprt,17.72,,,,,,,,,,,,,
2_4,WT,Hprt,18.69,18.755,4.975,6.63625,,,,,,0,0,,,
2_4,WT,Hprt,18.82,,,,,,,,,,,,,
2_5,WT,Hprt,18.33,18.375,4.8,,,,,,,0,,,,
2_5,WT,Hprt,18.42,,,,,,,,,,,,,
3_6,WT,Hprt,18.65,18.7,9.235,,,,,,,0,,,,
3_6,WT,Hprt,18.75,,,,,,,,,,,,,
3_7,WT,Hprt,18.51,18.705,7.535,,,,,,,0,,,,
3_7,WT,Hprt,18.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Hspa4,17,16.88,6.235,7.50375,1.1625,0.446737727,-2.238449855,,,-0.27,-0.175,0.12,0.920187651,-1.086734863
1_3,KO,Hspa4,16.76,,,,,,,,,,,,,
2_2,KO,Hspa4,17.38,17.385,11.13,,,,,,,-0.28,,,,
2_2,KO,Hspa4,17.39,,,,,,,,,,,,,
3_4,KO,Hspa4,18,18.085,4.82,,,,,,,0.11,,,,
3_4,KO,Hspa4,18.17,,,,,,,,,,,,,
3_5,KO,Hspa4,17.35,17.44,7.83,,,,,,,-0.26,,,,
3_5,KO,Hspa4,17.53,,,,,,,,,,,,,
2_4,WT,Hspa4,18.13,18.275,4.495,6.34125,,,,,,-0.48,-0.295,,,
2_4,WT,Hspa4,18.42,,,,,,,,,,,,,
2_5,WT,Hspa4,18.05,18.12,4.545,,,,,,,-0.255,,,,
2_5,WT,Hspa4,18.19,,,,,,,,,,,,,
3_6,WT,Hspa4,18.36,18.54,9.075,,,,,,,-0.16,,,,
3_6,WT,Hspa4,18.72,,,,,,,,,,,,,
3_7,WT,Hspa4,18.28,18.42,7.25,,,,,,,-0.285,,,,
3_7,WT,Hspa4,18.56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Hsph1,23.72,23.58,12.935,14.3875,1.36375,0.388570963,-2.573532497,,,6.43,6.70875,0.32125,0.800376104,-1.249412614
1_3,KO,Hsph1,23.44,,,,,,,,,,,,,
2_2,KO,Hsph1,24.75,24.93,18.675,,,,,,,7.265,,,,
2_2,KO,Hsph1,25.11,,,,,,,,,,,,,
3_4,KO,Hsph1,24.58,24.67,11.405,,,,,,,6.695,,,,
3_4,KO,Hsph1,24.76,,,,,,,,,,,,,
3_5,KO,Hsph1,24.06,24.145,14.535,,,,,,,6.445,,,,
3_5,KO,Hsph1,24.23,,,,,,,,,,,,,
2_4,WT,Hsph1,24.79,24.815,11.035,13.02375,,,,,,6.06,6.3875,,,
2_4,WT,Hsph1,24.84,,,,,,,,,,,,,
2_5,WT,Hsph1,24.91,25.01,11.435,,,,,,,6.635,,,,
2_5,WT,Hsph1,25.11,,,,,,,,,,,,,
3_6,WT,Hsph1,25.42,25.485,16.02,,,,,,,6.785,,,,
3_6,WT,Hsph1,25.55,,,,,,,,,,,,,
3_7,WT,Hsph1,24.83,24.775,13.605,,,,,,,6.07,,,,
3_7,WT,Hsph1,24.72,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Insm1,17.51,17.825,7.18,8.75875,1.0425,0.485485462,-2.059793913,,,0.675,1.08,1.77636E-15,1,-1
1_3,KO,Insm1,18.14,,,,,,,,,,,,,
2_2,KO,Insm1,18.78,18.865,12.61,,,,,,,1.2,,,,
2_2,KO,Insm1,18.95,,,,,,,,,,,,,
3_4,KO,Insm1,19.27,19.265,6,,,,,,,1.29,,,,
3_4,KO,Insm1,19.26,,,,,,,,,,,,,
3_5,KO,Insm1,18.84,18.855,9.245,,,,,,,1.155,,,,
3_5,KO,Insm1,18.87,,,,,,,,,,,,,
2_4,WT,Insm1,19.49,19.655,5.875,7.71625,,,,,,0.9,1.08,,,
2_4,WT,Insm1,19.82,,,,,,,,,,,,,
2_5,WT,Insm1,19.59,19.53,5.955,,,,,,,1.155,,,,
2_5,WT,Insm1,19.47,,,,,,,,,,,,,
3_6,WT,Insm1,19.72,19.84,10.375,,,,,,,1.14,,,,
3_6,WT,Insm1,19.96,,,,,,,,,,,,,
3_7,WT,Insm1,19.53,19.83,8.66,,,,,,,1.125,,,,
3_7,WT,Insm1,20.13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Lrat,22.35,22.43,11.785,12.9675,1.7025,0.307253213,-3.254644571,,,5.28,5.28875,0.66,0.632878297,-1.580082624
1_3,KO,Lrat,22.51,,,,,,,,,,,,,
2_2,KO,Lrat,22.34,22.43,16.175,,,,,,,4.765,,,,
2_2,KO,Lrat,22.52,,,,,,,,,,,,,
3_4,KO,Lrat,22.89,22.935,9.67,,,,,,,4.96,,,,
3_4,KO,Lrat,22.98,,,,,,,,,,,,,
3_5,KO,Lrat,23.71,23.85,14.24,,,,,,,6.15,,,,
3_5,KO,Lrat,23.99,,,,,,,,,,,,,
2_4,WT,Lrat,23.19,23.3,9.52,11.265,,,,,,4.545,4.62875,,,
2_4,WT,Lrat,23.41,,,,,,,,,,,,,
2_5,WT,Lrat,23.16,23.26,9.685,,,,,,,4.885,,,,
2_5,WT,Lrat,23.36,,,,,,,,,,,,,
3_6,WT,Lrat,23.25,23.355,13.89,,,,,,,4.655,,,,
3_6,WT,Lrat,23.46,,,,,,,,,,,,,
3_7,WT,Lrat,23.04,23.135,11.965,,,,,,,4.43,,,,
3_7,WT,Lrat,23.23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Mfap2,20.85,20.705,10.06,11.75875,0.975,0.508739846,-1.965641197,,,3.555,4.08,-0.0675,1.047899238,-0.954290225
1_3,KO,Mfap2,20.56,,,,,,,,,,,,,
2_2,KO,Mfap2,21.82,21.885,15.63,,,,,,,4.22,,,,
2_2,KO,Mfap2,21.95,,,,,,,,,,,,,
3_4,KO,Mfap2,22.44,22.535,9.27,,,,,,,4.56,,,,
3_4,KO,Mfap2,22.63,,,,,,,,,,,,,
3_5,KO,Mfap2,21.64,21.685,12.075,,,,,,,3.985,,,,
3_5,KO,Mfap2,21.73,,,,,,,,,,,,,
2_4,WT,Mfap2,22.81,22.85,9.07,10.78375,,,,,,4.095,4.1475,,,
2_4,WT,Mfap2,22.89,,,,,,,,,,,,,
2_5,WT,Mfap2,22.45,22.525,8.95,,,,,,,4.15,,,,
2_5,WT,Mfap2,22.6,,,,,,,,,,,,,
3_6,WT,Mfap2,22.9,22.845,13.38,,,,,,,4.145,,,,
3_6,WT,Mfap2,22.79,,,,,,,,,,,,,
3_7,WT,Mfap2,22.74,22.905,11.735,,,,,,,4.2,,,,
3_7,WT,Mfap2,23.07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Nr2e3,14.25,14.18,3.535,5.105,1.02,0.493116352,-2.02791896,,,-2.97,-2.57375,-0.0225,1.015718061,-0.984525173
1_3,KO,Nr2e3,14.11,,,,,,,,,,,,,
2_2,KO,Nr2e3,15.13,15.085,8.83,,,,,,,-2.58,,,,
2_2,KO,Nr2e3,15.04,,,,,,,,,,,,,
3_4,KO,Nr2e3,15.71,15.72,2.455,,,,,,,-2.255,,,,
3_4,KO,Nr2e3,15.73,,,,,,,,,,,,,
3_5,KO,Nr2e3,15.23,15.21,5.6,,,,,,,-2.49,,,,
3_5,KO,Nr2e3,15.19,,,,,,,,,,,,,
2_4,WT,Nr2e3,16.06,16.115,2.335,4.085,,,,,,-2.64,-2.55125,,,
2_4,WT,Nr2e3,16.17,,,,,,,,,,,,,
2_5,WT,Nr2e3,15.85,15.84,2.265,,,,,,,-2.535,,,,
2_5,WT,Nr2e3,15.83,,,,,,,,,,,,,
3_6,WT,Nr2e3,16.02,16.06,6.595,,,,,,,-2.64,,,,
3_6,WT,Nr2e3,16.1,,,,,,,,,,,,,
3_7,WT,Nr2e3,16.1,16.315,5.145,,,,,,,-2.39,,,,
3_7,WT,Nr2e3,16.53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Opn4,34.62,35.735,25.09,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,18.585,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
1_3,KO,Opn4,36.85,,,,,,,,,,,,,
2_2,KO,Opn4,39.18,39.18,32.925,,,,,,,21.515,,,,
2_2,KO,Opn4,N/A,,,,,,,,,,,,,
3_4,KO,Opn4,N/A,#DIV/0!,#DIV/0!,,,,,,,#DIV/0!,,,,
3_4,KO,Opn4,N/A,,,,,,,,,,,,,
3_5,KO,Opn4,N/A,N/A,#VALUE!,,,,,,,#VALUE!,,,,
3_5,KO,Opn4,N/A,,,,,,,,,,,,,
2_4,WT,Opn4,24.52,24.78,11,14.46125,,,,,,6.025,7.825,,,
2_4,WT,Opn4,25.04,,,,,,,,,,,,,
2_5,WT,Opn4,24.21,24.34,10.765,,,,,,,5.965,,,,
2_5,WT,Opn4,24.47,,,,,,,,,,,,,
3_6,WT,Opn4,24.34,24.49,15.025,,,,,,,5.79,,,,
3_6,WT,Opn4,24.64,,,,,,,,,,,,,
3_7,WT,Opn4,24.65,32.225,21.055,,,,,,,13.52,,,,
3_7,WT,Opn4,39.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Optc,24.54,24.535,13.89,15.6075,0.9375,0.522136891,-1.915206561,,,7.385,7.92875,-0.105,1.07549439,-0.929804943
1_3,KO,Optc,24.53,,,,,,,,,,,,,
2_2,KO,Optc,25.44,25.495,19.24,,,,,,,7.83,,,,
2_2,KO,Optc,25.55,,,,,,,,,,,,,
3_4,KO,Optc,26.35,26.69,13.425,,,,,,,8.715,,,,
3_4,KO,Optc,27.03,,,,,,,,,,,,,
3_5,KO,Optc,25.4,25.485,15.875,,,,,,,7.785,,,,
3_5,KO,Optc,25.57,,,,,,,,,,,,,
2_4,WT,Optc,26.95,27.105,13.325,14.67,,,,,,8.35,8.03375,,,
2_4,WT,Optc,27.26,,,,,,,,,,,,,
2_5,WT,Optc,26.48,26.585,13.01,,,,,,,8.21,,,,
2_5,WT,Optc,26.69,,,,,,,,,,,,,
3_6,WT,Optc,26.61,26.64,17.175,,,,,,,7.94,,,,
3_6,WT,Optc,26.67,,,,,,,,,,,,,
3_7,WT,Optc,26.34,26.34,15.17,,,,,,,7.635,,,,
3_7,WT,Optc,26.34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Psd2,24.43,24.375,13.73,15.57,0.22375,0.856336664,-1.167765019,,,7.225,7.89125,-0.81875,1.763877047,-0.56693294
1_3,KO,Psd2,24.32,,,,,,,,,,,,,
2_2,KO,Psd2,25.6,25.665,19.41,,,,,,,8,,,,
2_2,KO,Psd2,25.73,,,,,,,,,,,,,
3_4,KO,Psd2,26.83,26.975,13.71,,,,,,,9,,,,
3_4,KO,Psd2,27.12,,,,,,,,,,,,,
3_5,KO,Psd2,24.97,25.04,15.43,,,,,,,7.34,,,,
3_5,KO,Psd2,25.11,,,,,,,,,,,,,
2_4,WT,Psd2,27.06,27.145,13.365,15.34625,,,,,,8.39,8.71,,,
2_4,WT,Psd2,27.23,,,,,,,,,,,,,
2_5,WT,Psd2,29.71,28.135,14.56,,,,,,,9.76,,,,
2_5,WT,Psd2,26.56,,,,,,,,,,,,,
3_6,WT,Psd2,27.02,26.945,17.48,,,,,,,8.245,,,,
3_6,WT,Psd2,26.87,,,,,,,,,,,,,
3_7,WT,Psd2,27.01,27.15,15.98,,,,,,,8.445,,,,
3_7,WT,Psd2,27.29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Rgs7bp,20.14,20.015,9.37,10.27125,1.1975,0.43603021,-2.293419072,,,2.865,2.5925,0.155,0.898132373,-1.113421618
1_3,KO,Rgs7bp,19.89,,,,,,,,,,,,,
2_2,KO,Rgs7bp,20.22,20.155,13.9,,,,,,,2.49,,,,
2_2,KO,Rgs7bp,20.09,,,,,,,,,,,,,
3_4,KO,Rgs7bp,20.63,20.605,7.34,,,,,,,2.63,,,,
3_4,KO,Rgs7bp,20.58,,,,,,,,,,,,,
3_5,KO,Rgs7bp,19.99,20.085,10.475,,,,,,,2.385,,,,
3_5,KO,Rgs7bp,20.18,,,,,,,,,,,,,
2_4,WT,Rgs7bp,21.11,21.1,7.32,9.07375,,,,,,2.345,2.4375,,,
2_4,WT,Rgs7bp,21.09,,,,,,,,,,,,,
2_5,WT,Rgs7bp,20.82,20.95,7.375,,,,,,,2.575,,,,
2_5,WT,Rgs7bp,21.08,,,,,,,,,,,,,
3_6,WT,Rgs7bp,21.13,21.18,11.715,,,,,,,2.48,,,,
3_6,WT,Rgs7bp,21.23,,,,,,,,,,,,,
3_7,WT,Rgs7bp,20.95,21.055,9.885,,,,,,,2.35,,,,
3_7,WT,Rgs7bp,21.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Sfrs18,22.44,22.545,11.9,13.75625,0.90625,0.5335702,-1.874167634,,,5.395,6.0775,-0.13625,1.099044651,-0.90988114
1_3,KO,Sfrs18,22.65,,,,,,,,,,,,,
2_2,KO,Sfrs18,23.6,23.715,17.46,,,,,,,6.05,,,,
2_2,KO,Sfrs18,23.83,,,,,,,,,,,,,
3_4,KO,Sfrs18,24.76,24.82,11.555,,,,,,,6.845,,,,
3_4,KO,Sfrs18,24.88,,,,,,,,,,,,,
3_5,KO,Sfrs18,23.54,23.72,14.11,,,,,,,6.02,,,,
3_5,KO,Sfrs18,23.9,,,,,,,,,,,,,
2_4,WT,Sfrs18,24.86,24.82,11.04,12.85,,,,,,6.065,6.21375,,,
2_4,WT,Sfrs18,24.78,,,,,,,,,,,,,
2_5,WT,Sfrs18,24.67,24.565,10.99,,,,,,,6.19,,,,
2_5,WT,Sfrs18,24.46,,,,,,,,,,,,,
3_6,WT,Sfrs18,25.01,24.89,15.425,,,,,,,6.19,,,,
3_6,WT,Sfrs18,24.77,,,,,,,,,,,,,
3_7,WT,Sfrs18,25.03,25.115,13.945,,,,,,,6.41,,,,
3_7,WT,Sfrs18,25.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Spry4,21.23,21.285,10.64,12.0475,0.93875,0.52168469,-1.916866681,,,4.135,4.36875,-0.10375,1.074562949,-0.930610906
1_3,KO,Spry4,21.34,,,,,,,,,,,,,
2_2,KO,Spry4,22.27,22.325,16.07,,,,,,,4.66,,,,
2_2,KO,Spry4,22.38,,,,,,,,,,,,,
3_4,KO,Spry4,22.21,22.4,9.135,,,,,,,4.425,,,,
3_4,KO,Spry4,22.59,,,,,,,,,,,,,
3_5,KO,Spry4,21.82,21.955,12.345,,,,,,,4.255,,,,
3_5,KO,Spry4,22.09,,,,,,,,,,,,,
2_4,WT,Spry4,23.61,23.58,9.8,11.10875,,,,,,4.825,4.4725,,,
2_4,WT,Spry4,23.55,,,,,,,,,,,,,
2_5,WT,Spry4,22.85,22.77,9.195,,,,,,,4.395,,,,
2_5,WT,Spry4,22.69,,,,,,,,,,,,,
3_6,WT,Spry4,22.8,22.985,13.52,,,,,,,4.285,,,,
3_6,WT,Spry4,23.17,,,,,,,,,,,,,
3_7,WT,Spry4,22.94,23.09,11.92,,,,,,,4.385,,,,
3_7,WT,Spry4,23.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1_3,KO,Uba6,20.2,20.135,9.49,10.865,1.1525,0.449845033,-2.222987753,,,2.985,3.18625,0.11,0.926588062,-1.079228237
1_3,KO,Uba6,20.07,,,,,,,,,,,,,
2_2,KO,Uba6,20.69,20.66,14.405,,,,,,,2.995,,,,
2_2,KO,Uba6,20.63,,,,,,,,,,,,,
3_4,KO,Uba6,21.29,21.34,8.075,,,,,,,3.365,,,,
3_4,KO,Uba6,21.39,,,,,,,,,,,,,
3_5,KO,Uba6,21.08,21.1,11.49,,,,,,,3.4,,,,
3_5,KO,Uba6,21.12,,,,,,,,,,,,,
2_4,WT,Uba6,21.67,21.815,8.035,9.7125,,,,,,3.06,3.07625,,,
2_4,WT,Uba6,21.96,,,,,,,,,,,,,
2_5,WT,Uba6,21.45,21.43,7.855,,,,,,,3.055,,,,
2_5,WT,Uba6,21.41,,,,,,,,,,,,,
3_6,WT,Uba6,21.79,21.745,12.28,,,,,,,3.045,,,,
3_6,WT,Uba6,21.7,,,,,,,,,,,,,
3_7,WT,Uba6,21.84,21.85,10.68,,,,,,,3.145,,,,
3_7,WT,Uba6,21.86,,,,,,,,,,,,,
