Sample,Genotype,Gene,Ct,Average,dCt (Gapdh),Average,ddCt,FC,FC (negative),,,dCt(HPRT),Average,ddCt,FC,FC (negative)
5_3,KO,Fam107a,27.63,,,,,,,,,,,,,
6_3,KO,Fam107a,27.31,27.42,18.66,,,,,,,9.945,,,,
6_3,KO,Fam107a,27.53,,,,,,,,,,,,,
7_5,KO,Fam107a,27.54,27.095,18.78,,,,,,,9.17,,,,
7_5,KO,Fam107a,26.65,,,,,,,,,,,,,
7_7,KO,Fam107a,27.41,27.39,14.33,,,,,,,9.7,,,,
7_7,KO,Fam107a,27.37,,,,,,,,,,,,,
5_1,WT,Fam107a,28.05,28.16,15.18,17.545,,,,,,10.42,10.34625,,,
5_1,WT,Fam107a,28.27,,,,,,,,,,,,,
6_4,WT,Fam107a,27.06,27.39,19.505,,,,,,,9.715,,,,
6_4,WT,Fam107a,27.72,,,,,,,,,,,,,
7_1,WT,Fam107a,27.92,28.04,19.93,,,,,,,10.45,,,,
7_1,WT,Fam107a,28.16,,,,,,,,,,,,,
7_2,WT,Fam107a,28.04,28.26,15.565,,,,,,,10.8,,,,
7_2,WT,Fam107a,28.48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Gapdh,13.15,9.3,0,0,0,1,-1,,,-8.225,-7.795,-0.59625,1.511781877,-0.661471086
5_3,KO,Gapdh,5.45,,,,,,,,,,,,,
6_3,KO,Gapdh,4.86,8.76,0,,,,,,,-8.715,,,,
6_3,KO,Gapdh,12.66,,,,,,,,,,,,,
7_5,KO,Gapdh,13.16,8.315,0,,,,,,,-9.61,,,,
7_5,KO,Gapdh,3.47,,,,,,,,,,,,,
7_7,KO,Gapdh,13.03,13.06,0,,,,,,,-4.63,,,,
7_7,KO,Gapdh,13.09,,,,,,,,,,,,,
5_1,WT,Gapdh,12.94,12.98,0,0,,,,,,-4.76,-7.19875,,,
5_1,WT,Gapdh,13.02,,,,,,,,,,,,,
6_4,WT,Gapdh,12.63,7.885,0,,,,,,,-9.79,,,,
6_4,WT,Gapdh,3.14,,,,,,,,,,,,,
7_1,WT,Gapdh,12.9,8.11,0,,,,,,,-9.48,,,,
7_1,WT,Gapdh,3.32,,,,,,,,,,,,,
7_2,WT,Gapdh,12.41,12.695,0,,,,,,,-4.765,,,,
7_2,WT,Gapdh,12.98,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5_3,KO,Gpsm2,22.44,22.38,13.08,13.0375,0.485,0.71449707,-1.399585866,,,4.855,5.2425,-0.11125,1.080163722,-0.925785582
5_3,KO,Gpsm2,22.32,,,,,,,,,,,,,
6_3,KO,Gpsm2,22.92,22.93,14.17,,,,,,,5.455,,,,
6_3,KO,Gpsm2,22.94,,,,,,,,,,,,,
7_5,KO,Gpsm2,23.16,23.18,14.865,,,,,,,5.255,,,,
7_5,KO,Gpsm2,23.2,,,,,,,,,,,,,
7_7,KO,Gpsm2,23.03,23.095,10.035,,,,,,,5.405,,,,
7_7,KO,Gpsm2,23.16,,,,,,,,,,,,,
5_1,WT,Gpsm2,22.9,22.945,9.965,12.5525,,,,,,5.205,5.35375,,,
5_1,WT,Gpsm2,22.99,,,,,,,,,,,,,
6_4,WT,Gpsm2,22.74,22.845,14.96,,,,,,,5.17,,,,
6_4,WT,Gpsm2,22.95,,,,,,,,,,,,,
7_1,WT,Gpsm2,23.11,23.065,14.955,,,,,,,5.475,,,,
